0.13,-0.771066
0.22,-0.142245
0.3,4.042701
0.39,58.353804
0.48,252.296523
0.57,388.48581
0.66,425.608812
0.75,444.734388
0.84,459.380718
0.92,472.62618
1.01,476.465814
1.1,470.46798
1.19,464.512329
1.28,458.630253
1.37,452.834505
1.46,445.803678
1.54,432.932958
1.63,419.432436
1.72,407.25234
1.81,392.026239
1.9,376.159545
1.99,360.577341
2.08,344.934315
2.16,329.166702
2.25,312.972354
2.34,299.275632
2.43,280.782801
2.52,262.590156
2.61,243.506763
2.7,222.04935
2.79,199.607013
2.87,170.500743
2.96,137.613699
3.05,101.65122
3.14,65.056977
3.23,34.088769
3.32,17.063514
3.41,9.977751
3.49,7.630218
3.58,6.706116
